"","boot_lasso_usage"
"(Intercept)",1
"PER_FREE_LUNCH",0.196
"PER_REDUCED_LUNCH",0
"PER_LEP",0.085
"PER_AM_IND",0
"PER_BLACK",0
"PER_HISP",0
"PER_ASIAN",1
"PER_WHITE",0
"PER_Multi",0
"PER_SWD",0.513
"PER_FEMALE",0.248
"PER_ECDIS",0.995
"PER_SUSPENSIONS",0.005
"MEAN_CLASS_SIZE",0.094
"MEAN_ENROLL",0.834
"PER_NOT_HQ",0.001
"STUD_TEACH_RATIO",0.173
"PER_HS_DEGREE",0.039
"MEAN_INC",0.028
"EXP_PER_ST",0.004
"MEAN_TEACH_SCORE",0.003
"CHARTER",0.999
"VIOL_CRIME_PER_CITIZEN",0
"PROP_CRIME_PER_CITIZEN",0.251
"TOTAL_DIST_POP",0.048
